device,batch_size,latency,throughput,model,precision,machine
gpu_openvino,4,46.57,85.9,resnet50,FP16,i5
cpu_openvino,6,831.43,7.22,vit_b_16,FP16,i5
gpu_openvino,6,395.94,15.15,vit_b_16,FP16,i5
cpu_openvino,6,348.76,17.2,vgg11,FP16,i5
gpu_openvino,6,103.96,57.71,vgg11,FP16,i5
cpu_openvino,6,182.04,32.96,resnet50,FP16,i5
gpu_openvino,6,69.04,86.91,resnet50,FP16,i5
cpu_openvino,10,1572.79,6.36,vit_b_16,FP16,i5
gpu_openvino,10,725.98,13.77,vit_b_16,FP16,i5
cpu_openvino,10,587.76,17.01,vgg11,FP16,i5
gpu_openvino,10,158.67,63.02,vgg11,FP16,i5
cpu_openvino,10,300.4,33.29,resnet50,FP16,i5
gpu_openvino,10,119.05,84.0,resnet50,FP16,i5
cpu_openvino,20,3089.45,6.47,vit_b_16,FP16,i5
gpu_openvino,20,1360.87,14.7,vit_b_16,FP16,i5
cpu_openvino,20,1066.01,18.76,vgg11,FP16,i5
gpu_openvino,20,291.63,68.58,vgg11,FP16,i5
cpu_openvino,20,595.71,33.57,resnet50,FP16,i5
gpu_openvino,20,225.91,88.53,resnet50,FP16,i5
cpu_openvino,30,4625.82,6.49,vit_b_16,FP16,i5
gpu_openvino,30,1791.91,16.74,vit_b_16,FP16,i5
cpu_openvino,30,1567.17,19.14,vgg11,FP16,i5
gpu_openvino,30,422.73,70.97,vgg11,FP16,i5
cpu_openvino,30,878.12,34.16,resnet50,FP16,i5
gpu_openvino,30,350.66,85.55,resnet50,FP16,i5
cpu_openvino,50,8118.64,6.16,vit_b_16,FP16,i5
gpu_openvino,50,3158.62,15.83,vit_b_16,FP16,i5
cpu_openvino,50,2714.34,18.42,vgg11,FP16,i5
gpu_openvino,50,685.65,72.92,vgg11,FP16,i5
cpu_openvino,50,1605.45,31.14,resnet50,FP16,i5
gpu_openvino,50,617.9,80.92,resnet50,FP16,i5
cpu_openvino,1,147.33,6.79,vit_b_16,FP32,i5
gpu_openvino,1,616.01,1.62,vit_b_16,FP32,i5
cpu_openvino,1,78.78,12.69,vgg11,FP32,i5
gpu_openvino,1,62.07,16.11,vgg11,FP32,i5
cpu_openvino,1,37.42,26.72,resnet50,FP32,i5
gpu_openvino,1,25.62,39.03,resnet50,FP32,i5
cpu_openvino,2,368.54,5.43,vit_b_16,FP32,i5
gpu_openvino,2,666.64,3.0,vit_b_16,FP32,i5
cpu_openvino,2,128.91,15.51,vgg11,FP32,i5
gpu_openvino,2,120.44,16.61,vgg11,FP32,i5
cpu_openvino,2,64.6,30.96,resnet50,FP32,i5
gpu_openvino,2,43.26,46.23,resnet50,FP32,i5
cpu_openvino,4,586.76,6.82,vit_b_16,FP32,i5
gpu_openvino,4,788.36,5.07,vit_b_16,FP32,i5
cpu_openvino,4,246.78,16.21,vgg11,FP32,i5
gpu_openvino,4,204.4,19.57,vgg11,FP32,i5
cpu_openvino,4,133.7,29.92,resnet50,FP32,i5
gpu_openvino,4,89.16,44.86,resnet50,FP32,i5
cpu_openvino,6,838.97,7.15,vit_b_16,FP32,i5
gpu_openvino,6,879.8,6.82,vit_b_16,FP32,i5
cpu_openvino,6,347.76,17.25,vgg11,FP32,i5
gpu_openvino,6,169.73,35.35,vgg11,FP32,i5
cpu_openvino,6,182.52,32.87,resnet50,FP32,i5
gpu_openvino,6,126.44,47.45,resnet50,FP32,i5
cpu_openvino,10,1709.7,5.85,vit_b_16,FP32,i5
gpu_openvino,10,1605.39,6.23,vit_b_16,FP32,i5
cpu_openvino,10,589.38,16.97,vgg11,FP32,i5
gpu_openvino,10,465.74,21.47,vgg11,FP32,i5
cpu_openvino,10,300.57,33.27,resnet50,FP32,i5
gpu_openvino,10,198.85,50.29,resnet50,FP32,i5
cpu_openvino,20,3102.33,6.45,vit_b_16,FP32,i5
gpu_openvino,20,2851.84,7.01,vit_b_16,FP32,i5
cpu_openvino,20,1068.08,18.73,vgg11,FP32,i5
gpu_openvino,20,495.69,40.35,vgg11,FP32,i5
cpu_openvino,20,593.89,33.68,resnet50,FP32,i5
gpu_openvino,20,385.83,51.84,resnet50,FP32,i5
cpu_openvino,30,4689.5,6.4,vit_b_16,FP32,i5
gpu_openvino,30,3570.4,8.4,vit_b_16,FP32,i5
cpu_openvino,30,1564.8,19.17,vgg11,FP32,i5
gpu_openvino,30,737.03,40.7,vgg11,FP32,i5
cpu_openvino,30,878.26,34.16,resnet50,FP32,i5
gpu_openvino,30,572.27,52.42,resnet50,FP32,i5
cpu_openvino,50,8151.45,6.13,vit_b_16,FP32,i5
gpu_openvino,50,5694.49,8.78,vit_b_16,FP32,i5
cpu_openvino,50,2768.14,18.06,vgg11,FP32,i5
gpu_openvino,50,1166.37,42.87,vgg11,FP32,i5
cpu_openvino,50,1635.11,30.58,resnet50,FP32,i5
gpu_openvino,50,926.5,53.97,resnet50,FP32,i5
cpu_openvino,1,35.15,28.45,vit_b_16,FP16,6212U
cpu_openvino,1,27.76,36.03,vgg11,FP16,6212U
cpu_openvino,1,12.18,82.11,resnet50,FP16,6212U
cpu_openvino,2,98.79,20.24,vit_b_16,FP16,6212U
cpu_openvino,2,46.32,43.18,vgg11,FP16,6212U
cpu_openvino,2,20.26,98.72,resnet50,FP16,6212U
cpu_openvino,4,142.42,28.09,vit_b_16,FP16,6212U
cpu_openvino,4,79.95,50.03,vgg11,FP16,6212U
cpu_openvino,4,34.46,116.08,resnet50,FP16,6212U
cpu_openvino,6,190.14,31.56,vit_b_16,FP16,6212U
cpu_openvino,6,107.8,55.66,vgg11,FP16,6212U
cpu_openvino,6,57.44,104.46,resnet50,FP16,6212U
cpu_openvino,8,237.71,33.65,vit_b_16,FP16,6212U
cpu_openvino,8,141.88,56.38,vgg11,FP16,6212U
cpu_openvino,8,72.78,109.93,resnet50,FP16,6212U
cpu_openvino,10,336.32,29.73,vit_b_16,FP16,6212U
cpu_openvino,10,181.08,55.22,vgg11,FP16,6212U
cpu_openvino,10,87.25,114.61,resnet50,FP16,6212U
cpu_openvino,20,661.03,30.26,vit_b_16,FP16,6212U
cpu_openvino,20,275.18,72.68,vgg11,FP16,6212U
cpu_openvino,20,202.39,98.82,resnet50,FP16,6212U
cpu_openvino,50,1905.32,26.24,vit_b_16,FP16,6212U
cpu_openvino,50,653.25,76.54,vgg11,FP16,6212U
cpu_openvino,50,492.27,101.57,resnet50,FP16,6212U
cpu_openvino,100,4046.81,24.71,vit_b_16,FP16,6212U
cpu_openvino,100,1354.83,73.81,vgg11,FP16,6212U
cpu_openvino,100,1004.19,99.58,resnet50,FP16,6212U
cpu_openvino,1,38.98,25.65,vit_b_16,FP32,6212U
cpu_openvino,1,26.72,37.42,vgg11,FP32,6212U
cpu_openvino,1,11.7,85.46,resnet50,FP32,6212U
cpu_openvino,2,94.37,21.19,vit_b_16,FP32,6212U
cpu_openvino,2,40.12,49.85,vgg11,FP32,6212U
cpu_openvino,2,19.94,100.3,resnet50,FP32,6212U
cpu_openvino,4,144.24,27.73,vit_b_16,FP32,6212U
cpu_openvino,4,80.34,49.79,vgg11,FP32,6212U
cpu_openvino,4,36.57,109.37,resnet50,FP32,6212U
cpu_openvino,6,205.85,29.15,vit_b_16,FP32,6212U
cpu_openvino,6,102.42,58.59,vgg11,FP32,6212U
cpu_openvino,6,59.2,101.36,resnet50,FP32,6212U
cpu_openvino,8,248.17,32.24,vit_b_16,FP32,6212U
cpu_openvino,8,135.76,58.93,vgg11,FP32,6212U
cpu_openvino,8,70.86,112.9,resnet50,FP32,6212U
cpu_openvino,10,334.49,29.9,vit_b_16,FP32,6212U
cpu_openvino,10,186.04,53.75,vgg11,FP32,6212U
cpu_openvino,10,98.82,101.19,resnet50,FP32,6212U
cpu_openvino,20,700.99,28.53,vit_b_16,FP32,6212U
cpu_openvino,20,290.12,68.94,vgg11,FP32,6212U
cpu_openvino,20,202.04,98.99,resnet50,FP32,6212U
cpu_openvino,50,1945.25,25.7,vit_b_16,FP32,6212U
cpu_openvino,50,697.78,71.66,vgg11,FP32,6212U
cpu_openvino,50,502.37,99.53,resnet50,FP32,6212U
cpu_openvino,100,3849.17,25.98,vit_b_16,FP32,6212U
cpu_openvino,100,1262.26,79.22,vgg11,FP32,6212U
cpu_openvino,100,980.21,102.02,resnet50,FP32,6212U
cpu_openvino,1,21.23,47.11,vit_b_16,FP16,6338N
cpu_openvino,1,14.78,67.64,vgg11,FP16,6338N
cpu_openvino,1,7.6,131.64,resnet50,FP16,6338N
cpu_openvino,2,56.16,35.61,vit_b_16,FP16,6338N
cpu_openvino,2,22.65,88.32,vgg11,FP16,6338N
cpu_openvino,2,14.71,136.0,resnet50,FP16,6338N
cpu_openvino,4,82.05,48.75,vit_b_16,FP16,6338N
cpu_openvino,4,41.13,97.25,vgg11,FP16,6338N
cpu_openvino,4,27.79,143.93,resnet50,FP16,6338N
cpu_openvino,6,111.21,53.95,vit_b_16,FP16,6338N
cpu_openvino,6,54.48,110.14,vgg11,FP16,6338N
cpu_openvino,6,36.33,165.15,resnet50,FP16,6338N
cpu_openvino,8,135.71,58.95,vit_b_16,FP16,6338N
cpu_openvino,8,69.49,115.12,vgg11,FP16,6338N
cpu_openvino,8,44.83,178.46,resnet50,FP16,6338N
cpu_openvino,10,171.0,58.48,vit_b_16,FP16,6338N
cpu_openvino,10,86.22,115.99,vgg11,FP16,6338N
cpu_openvino,10,56.71,176.33,resnet50,FP16,6338N
cpu_openvino,20,288.98,69.21,vit_b_16,FP16,6338N
cpu_openvino,20,140.27,142.58,vgg11,FP16,6338N
cpu_openvino,20,101.99,196.1,resnet50,FP16,6338N
cpu_openvino,50,684.62,73.03,vit_b_16,FP16,6338N
cpu_openvino,50,344.38,145.19,vgg11,FP16,6338N
cpu_openvino,50,291.2,171.7,resnet50,FP16,6338N
cpu_openvino,100,1408.94,70.98,vit_b_16,FP16,6338N
cpu_openvino,100,635.46,157.37,vgg11,FP16,6338N
cpu_openvino,100,548.13,182.44,resnet50,FP16,6338N
cpu_openvino,1,23.4,42.74,vit_b_16,FP32,6338N
cpu_openvino,1,14.62,68.4,vgg11,FP32,6338N
cpu_openvino,1,8.97,111.52,resnet50,FP32,6338N
cpu_openvino,2,53.0,37.73,vit_b_16,FP32,6338N
cpu_openvino,2,23.32,85.77,vgg11,FP32,6338N
cpu_openvino,2,15.59,128.26,resnet50,FP32,6338N
cpu_openvino,4,76.36,52.38,vit_b_16,FP32,6338N
cpu_openvino,4,39.99,100.03,vgg11,FP32,6338N
cpu_openvino,4,24.17,165.48,resnet50,FP32,6338N
cpu_openvino,6,107.06,56.04,vit_b_16,FP32,6338N
cpu_openvino,6,52.12,115.13,vgg11,FP32,6338N
cpu_openvino,6,37.51,159.95,resnet50,FP32,6338N
cpu_openvino,8,126.48,63.25,vit_b_16,FP32,6338N
cpu_openvino,8,69.45,115.2,vgg11,FP32,6338N
cpu_openvino,8,40.66,196.77,resnet50,FP32,6338N
cpu_openvino,10,149.39,66.94,vit_b_16,FP32,6338N
cpu_openvino,10,85.2,117.37,vgg11,FP32,6338N
cpu_openvino,10,54.94,182.02,resnet50,FP32,6338N
cpu_openvino,20,255.16,78.38,vit_b_16,FP32,6338N
cpu_openvino,20,131.61,151.96,vgg11,FP32,6338N
cpu_openvino,20,100.54,198.93,resnet50,FP32,6338N
cpu_openvino,50,676.89,73.87,vit_b_16,FP32,6338N
cpu_openvino,50,317.97,157.25,vgg11,FP32,6338N
cpu_openvino,50,268.7,186.08,resnet50,FP32,6338N
cpu_openvino,100,1390.75,71.9,vit_b_16,FP32,6338N
cpu_openvino,100,633.11,157.95,vgg11,FP32,6338N
cpu_openvino,100,550.86,181.53,resnet50,FP32,6338N
